------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         307   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0.000000      0.000000      0.000000      0.000000      13.308000      3.542000      1
0.080394      -0.000048      -0.000203      0.000000      13.308000      3.542000      1
0.160788      -0.000096      -0.000406      0.000000      13.308000      3.542000      1
0.241182      -0.000144      -0.000608      0.000000      13.308000      3.542000      1
0.321576      -0.000192      -0.000811      0.000000      13.308000      3.542000      1
0.401971      -0.000240      -0.001014      0.000000      13.308000      3.542000      1
0.482365      -0.000288      -0.001217      0.000000      13.308000      3.542000      1
0.562759      -0.000336      -0.001419      0.000000      13.308000      3.542000      1
0.643153      -0.000384      -0.001622      0.000000      13.308000      3.542000      1
0.723547      -0.000432      -0.001825      0.000000      13.308000      3.542000      1
0.803941      -0.000480      -0.002028      0.000000      13.308000      3.542000      1
0.884335      -0.000528      -0.002230      0.000000      13.308000      3.542000      1
0.964729      -0.000576      -0.002433      0.000000      13.308000      3.542000      1
1.045124      -0.000623      -0.002636      0.000000      13.308000      3.542000      1
1.125518      -0.000671      -0.002839      0.000000      13.308000      3.542000      1
1.205912      -0.000719      -0.003041      0.000000      13.308000      3.542000      1
1.286306      -0.000767      -0.003244      0.000000      13.308000      3.542000      1
1.366700      -0.000815      -0.003447      0.000000      13.308000      3.542000      1
1.527482      -0.002229      -0.009421      0.000000      13.308000      3.560353      1
1.688265      -0.003642      -0.015396      0.000000      13.308000      3.578706      1
1.849047      -0.005055      -0.021371      0.000000      13.308000      3.597059      1
2.009829      -0.006468      -0.027345      0.000000      13.308000      3.615412      1
2.170612      -0.007881      -0.033320      0.000000      13.308000      3.633765      1
